# 1. 笑脸与情感 (Smileys & Emotion)
😀 | 咧嘴笑 | Grinning Face
🛡️ | 盾牌 | Shield
🚬 | 香烟 | Cigarette
🪦 | 墓碑 | Headstone
🧿 | 邪眼 | Nazar Amulet
🪬 | 护符 | Hamsa
📿 | 念珠 | Prayer Beads
💎 | 钻石 | Gem Stone
🔮 | 水晶球 | Crystal Ball
📿 | 念珠 | Prayer Beads
🪄 | 魔法棒 | Magic Wand
🎁 | 礼物 | Wrapped Gift
🎀 | 蝴蝶结 | Ribbon
🎗️ | 纪念丝带 | Reminder Ribbon
🎟️ | 票 | Admission Tickets
🎫 | 门票 | Ticket
🎪 | 马戏团帐篷 | Circus Tent
🤹 | 杂耍 | Juggling
🎭 | 面具 | Performing Arts
🩰 | 舞鞋 | Ballet Shoes
🎨 | 调色板 | Artist Palette
🧵 | 针线 | Thread
🪡 | 缝纫针 | Sewing Needle
🧶 | 毛线 | Yarn
🪭 | 折扇 | Folding Hand Fan
🎤 | 麦克风 | Microphone
🎧 | 耳机 | Headphone
🎼 | 乐谱 | Musical Score
🎹 | 钢琴 | Musical Keyboard
🥁 | 鼓 | Drum
🪘 | 长鼓 | Long Drum
🎷 | 萨克斯 | Saxophone
🎺 | 小号 | Trumpet
🎸 | 吉他 | Guitar
🪕 | 班卓琴 | Banjo
🎻 | 小提琴 | Violin
🪗 | 手风琴 | Accordion
🥁 | 鼓 | Drum
🪇 | 响葫芦 | Maracas
🪈 | 长笛 | Flute
📯 | 邮号 | Postal Horn
🔔 | 铃铛 | Bell
🔕 | 静音铃 | Bell with Slash
🎶 | 音符 | Musical Notes
🎵 | 单音符 | Musical Note

---

# 6. 符号 (Symbols)
❤️ | 红心 | Red Heart
🧡 | 橙心 | Orange Heart
💛 | 黄心 | Yellow Heart
💚 | 绿心 | Green Heart
💙 | 蓝心 | Blue Heart
💜 | 紫心 | Purple Heart
🖤 | 黑心 | Black Heart
🤍 | 白心 | White Heart
🤎 | 棕心 | Brown Heart
💔 | 心碎 | Broken Heart
❣️ | 感叹心 | Heart Exclamation
💕 | 双心 | Two Hearts
💞 | 旋转心 | Revolving Hearts
💓 | 心跳 | Beating Heart
💗 | 生长心 | Growing Heart
💖 | 闪光心 | Sparkling Heart
💘 | 箭穿心 | Heart with Arrow
💝 | 礼盒心 | Heart with Ribbon
💌 | 爱心信 | Love Letter
🕳️ | 黑洞 | Hole
💢 | 怒符号 | Anger Symbol
💬 | 对话气泡 | Speech Balloon
💭 | 思考气泡 | Thought Balloon
💤 | 睡觉 | ZZZ
🚸 | 儿童 | Children Crossing
🔞 | 18禁 | No One Under Eighteen
📵 | 禁手机 | Mobile Phone with Prohibited Sign
🔃 | 循环箭头 | Clockwise Arrows
🔄 | 反向循环 | Anticlockwise Arrows
🔙 | 返回 | Back Arrow
🔚 | 结束 | End Arrow
🔛 | 开关 | On! Arrow
🔜 | 马上 | Soon Arrow
🔝 | 置顶 | Top Arrow
🛐 | 祈祷 | Place of Worship
🕉️ | 欧姆 | Om Symbol
🕎 | 灯台 | Menorah
🔯 | 六芒星 | Dotted Six-Pointed Star
🪯 | 卡帕拉 | Khanda
🔀 | 随机 | Shuffle Tracks Button
🔁 | 循环 | Repeat Button
🔂 | 单次循环 | Repeat Single Button
▶️ | 播放 | Play Button
⏩ | 快进 | Fast-Forward Button
⏭️ | 下一曲 | Next Track Button
⏯️ | 播放暂停 | Play or Pause Button
◀️ | 倒放 | Reverse Button
⏪ | 快退 | Fast Reverse Button
⏮️ | 上一曲 | Previous Track Button
🔼 | 上箭头 | Upwards Button
⏫ | 快上 | Fast Up Button
🔽 | 下箭头 | Downwards Button
⏬ | 快下 | Fast Down Button
⏸️ | 暂停 | Pause Button
⏹️ | 停止 | Stop Button
⏺️ | 录制 | Record Button
⏏️ | 弹出 | Eject Button
🎦 | 影院标志 | Cinema Light
🔅 | 低亮 | Dim Button
🔆 | 高亮 | Bright Button
📶 | 信号 | Antenna Bars
🛜 | 无线 | Wireless
📳 | 震动 | Vibration Mode
📴 | 关机 | Mobile Phone Off
🟰 | 等号 | Heavy Equals Sign
#️⃣ | 井号 | Keycap Number Sign
⚛️ | 原子 | Atom Symbol
🕉️ | 欧姆 | Om
☸️ | 法轮 | Wheel of Dharma
☯️ | 太极 | Yin Yang
✡️ | 大卫之星 | Star of David
☢️ | 辐射 | Radioactive
☣️ | 生物危害 | Biohazard
📴 | 关机 | Mobile Phone Off
📳 | 震动 | Vibration Mode
♀️ | 女性符号 | Female Sign
♂️ | 男性符号 | Male Sign
⚧️ | 跨性别 | Transgender Symbol
✝️ | 十字 | Latin Cross
☦️ | 东正十字 | Orthodox Cross
☪️ | 星月 | Star and Crescent
☮️ | 和平 | Peace Symbol
🕊️ | 和平鸽 | Dove
⚕️ | 医疗 | Medical Symbol
♻️ | 回收 | Recycling Symbol
⚜️ | 鸢尾花 | Fleur-de-lis
🔱 | 三叉戟 | Trident Emblem
📛 | 名牌 | Name Badge
🔰 | 徽章 | Japanese Symbol
